Party,Criminal Case,Total Assets,Liabilities,state,Education
Sikkim Krantikari Morcha,0,6200,200,SIKKIM,Graduate
BJP,0,7500,8400,MADHYAPRADESH,Graduate
BJP,1,40000,20000,GUJARAT,Graduate Professional
AAP,0,0,2200,PUNJAB,12th Pass
INC,0,10000,400,RAJASTHAN,Graduate
INC,0,160000,3300,BIHAR,Doctorate
INC,0,20000,2200,PUNJAB,Graduate
INC,0,540000,1500,GUJARAT,Graduate
INC,18,630000,8200,KERALA,10th Pass
INC,73,6800,0,TAMILNADU,Post Graduate
AAP,5,8500,100000,PUNJAB,12th Pass
BJP,0,60000,20000,UTTARPRADESH,Graduate Professional
DMK,5,60000,30000,PUDUCHERRY,Graduate Professional
AAP,1,9100,300,PUNJAB,Others
INC,0,0,0,CHHATTISGARH,Post Graduate
AITC,0,1900,0,WESTBENGAL,Graduate
BJP,0,110000,10000,ASSAM,12th Pass
BJP,0,20000,5000,BIHAR,Graduate
BJP,3,0,0,ASSAM,12th Pass
BJP,0,10000,1100,BIHAR,Graduate Professional
BJP,0,30000,4700,UTTARAKHAND,8th Pass
SHS,3,10000,4600,MAHARASHTRA,Graduate
SP,2,60000,3600,UTTARPRADESH,12th Pass
JD(U),1,30000,1000,BIHAR,Doctorate
DMK,12,140000,10000,TAMILNADU,Graduate
INC,0,30000,5000,MADHYAPRADESH,10th Pass
CPI(M),9,20000,4000,KERALA,Graduate Professional
DMK,26,20000,800,TAMILNADU,Graduate
BJP,0,0,4500,MAHARASHTRA,12th Pass
DMK,0,460000,800,PUDUCHERRY,Graduate
AITC,0,7100,0,WESTBENGAL,Graduate
AAP,1,2600,700,PUNJAB,Post Graduate
INC,0,60000,6300,RAJASTHAN,Post Graduate
AAP,8,20000,0,DELHI,8th Pass
AAP,0,1500,0,PUNJAB,Graduate Professional
JD(U),0,0,0,ASSAM,Doctorate
AITC,1,80000,1600,WESTBENGAL,Post Graduate
JMM,0,10000,3900,JHARKHAND,10th Pass
AITC,0,10000,1600,WESTBENGAL,Post Graduate
BJP,0,50000,9400,HIMACHALPRADESH,10th Pass
BJP,11,270000,10000,HARYANA,12th Pass
BJP,0,9100,330000,GUJARAT,Others
AAP,2,0,2800,DELHI,Post Graduate
BJP,0,40000,4100,MAHARASHTRA,Graduate
INC,12,100000,10000,MAHARASHTRA,Graduate
BJP,6,270000,80000,MAHARASHTRA,Graduate
IND,0,20000,0,UTTARAKHAND,Graduate
BJP,0,120000,10000,RAJASTHAN,Graduate
BJP,1,150000,5400,RAJASTHAN,Post Graduate
BJP,1,7700,400,GUJARAT,Literate
INC,10,10000,4000,TAMILNADU,Graduate Professional
BJP,1,7900,1200,WESTBENGAL,Graduate
JD(U),0,30000,5000,BIHAR,12th Pass
INC,6,30000,2000,PUDUCHERRY,Graduate
INC,8,0,1100,KARNATAKA,Graduate
AAP,0,1350000,9700,MAHARASHTRA,10th Pass
