Party,Criminal Case,Total Assets,Liabilities,state,Education
RJD,0,7000,1400,CHHATTISGARH,12th Pass
DMK,1,5300,1800,RAJASTHAN,12th Pass
DMK,0,50000,2500,KARNATAKA,12th Pass
BJD,13,100000,10000,MAHARASHTRA,Post Graduate
SHS,14,10000,700,UTTARAKHAND,8th Pass
DMK,38,420000,0,DELHI,Graduate
DMK,0,1700,4100,HARYANA,Graduate
JD(U),0,880000,30000,TAMILNADU,Graduate Professional
BJP,9,280000,30000,KARNATAKA,10th Pass
BJP,2,80000,2300,ANDHRAPRADESH,Post Graduate
BJP,2,140000,7400,RAJASTHAN,Graduate
BJP,0,60000,2600,UTTARAKHAND,Graduate
NDPP,0,10000,0,NAGALAND,Graduate Professional
INC,4,20000,1900,JHARKHAND,Graduate Professional
INC,0,450000,3500,SIKKIM,10th Pass
BJP,13,6600,10000,TAMILNADU,Graduate Professional
BJP,16,790000,8200,WESTBENGAL,10th Pass
INC,0,10000,7000,TAMILNADU,Post Graduate
YSRCP,51,5000,200,DELHI,12th Pass
SP,2,20000,4000,MANIPUR,8th Pass
BJP,0,40000,10000,RAJASTHAN,12th Pass
BJP,1,5600,40000,TAMILNADU,Graduate
DMK,12,70000,0,BIHAR,12th Pass
BJP,2,120000,50000,KERALA,Post Graduate
SP,0,20000,5300,PUNJAB,Graduate
DMK,2,160000,0,WESTBENGAL,10th Pass
INC,1,20000,220000,UTTARPRADESH,Graduate Professional
INC,0,10000,1300,HARYANA,8th Pass
BJP,10,530000,6000,ANDHRAPRADESH,Graduate
INC,99,40000,20000,HIMACHALPRADESH,Graduate
BJP,0,10000,400,KERALA,12th Pass
RJD,2,10000,20000,HIMACHALPRADESH,10th Pass
AITC,0,0,220000,WESTBENGAL,8th Pass
DMK,0,10000,0,WESTBENGAL,12th Pass
INC,1,4400,180000,ARUNACHALPRADESH,Graduate
BJP,4,270000,0,UTTARAKHAND,Post Graduate
INC,7,80000,10000,DELHI,Post Graduate
BJD,0,90000,1800,TAMILNADU,12th Pass
AITC,0,400,30000,RAJASTHAN,12th Pass
BJP,2,20000,8300,WESTBENGAL,Graduate
INC,0,4500,3000,TAMILNADU,Graduate Professional
DMK,16,20000,1000,RAJASTHAN,Graduate Professional
AIADMK,4,1900,500,MADHYAPRADESH,Graduate
JMM,3,6900,600,KARNATAKA,Graduate
INC,3,0,8300,KERALA,Graduate
DMK,12,350000,500,KARNATAKA,Post Graduate
INC,0,10000,10000,MAHARASHTRA,Graduate Professional
INC,5,460000,1200,MEGHALAYA,Post Graduate
AAP,0,30000,2600,PUNJAB,Post Graduate
NCP,1,20000,0,KARNATAKA,Graduate
BJP,0,330000,2300,HARYANA,Graduate
RJD,1,30000,480000,JHARKHAND,12th Pass
BJP,0,7900,500,MAHARASHTRA,Graduate Professional
SHS,0,5400,1800,GUJARAT,Post Graduate
BJP,0,0,99,BIHAR,Graduate
IND,0,2400,1300,KARNATAKA,10th Pass
TDP,0,420000,40000,WESTBENGAL,Post Graduate
INC,0,10000,2500,PUNJAB,Graduate
BJP,18,90000,8700,TRIPURA,Graduate Professional
AAP,4,20000,5900,MAHARASHTRA,Post Graduate
BJP,4,10000,700,CHHATTISGARH,Graduate
BJP,0,20000,1600,KERALA,Graduate
BJP,0,5600,5100,RAJASTHAN,10th Pass
AAP,0,10000,4000,HARYANA,Post Graduate
AAP,1,70000,800,KARNATAKA,Graduate
BJP,2,40000,12,BIHAR,Graduate
BJP,0,50000,700,ANDHRAPRADESH,10th Pass
BJP,4,6700,1210000,CHHATTISGARH,10th Pass
BJP,5,20000,4700,KERALA,12th Pass
INC,1,230000,20000,MEGHALAYA,Graduate
AAP,10,0,6800,RAJASTHAN,Graduate Professional
RJD,1,20000,3100,NAGALAND,Graduate Professional
JMM,1,90000,6900,KARNATAKA,Doctorate
CPI,0,80000,900,MAHARASHTRA,8th Pass
RJD,4,9100,9900,DELHI,10th Pass
CPI(M),0,170000,40000,MADHYAPRADESH,Post Graduate
BJP,0,5800,100,GUJARAT,10th Pass
INC,1,30000,10000,BIHAR,10th Pass
DMK,0,10000,140000,HARYANA,Graduate Professional
INC,1,7500,0,MADHYAPRADESH,Graduate
SP,0,10000,500,WESTBENGAL,Graduate Professional
INC,0,870000,2100,BIHAR,Graduate Professional
AITC,0,20000,10000,PUNJAB,Post Graduate
YSRCP,29,1210000,400,KARNATAKA,Graduate Professional
AAP,0,10000,4500,ASSAM,Post Graduate
AAP,3,140000,7100,BIHAR,Graduate Professional
CPI(M),46,6900,5100,KERALA,Post Graduate
SP,5,0,300,UTTARPRADESH,Graduate Professional
BJP,0,170000,0,WESTBENGAL,Post Graduate
BJP,0,7100,0,GUJARAT,Doctorate
AITC,0,2500,100,MANIPUR,Graduate
BJP,0,10000,0,GOA,8th Pass
BJP,6,1220000,3000,PUNJAB,Post Graduate
YSRCP,3,60000,300,GUJARAT,Graduate
CPI(M),1,50000,1700,KERALA,Graduate Professional
BJP,1,50000,30000,GUJARAT,Graduate
BJP,0,10000,4700,GUJARAT,Graduate Professional
INC,0,1300,12,TRIPURA,Graduate
INC,3,0,160000,DELHI,Graduate
CPI(M),19,4350000,50,UTTARPRADESH,Graduate
BJP,0,10000,14,RAJASTHAN,Post Graduate
YSRCP,0,1800,99,PUNJAB,Doctorate
DMK,1,20000,50000,UTTARPRADESH,Others
BJP,1,50000,40000,GUJARAT,10th Pass
AIADMK,0,20000,10000,UTTARAKHAND,5th Pass
BJP,3,20000,40000,JHARKHAND,12th Pass
BJP,1,10000,2000,ANDHRAPRADESH,Graduate
INC,6,60000,1300,TAMILNADU,Graduate
BJP,5,20000,1200,MANIPUR,Post Graduate
AAP,1,170000,900,BIHAR,Graduate Professional
NDPP,0,100000,5900,UTTARAKHAND,Graduate
INC,1,90000,6900,ANDHRAPRADESH,12th Pass
AIADMK,15,0,3100,ANDHRAPRADESH,Graduate
SP,0,4390000,74,MAHARASHTRA,Graduate Professional
BJD,2,20000,1000,KARNATAKA,12th Pass
BJP,14,320000,2650000,ANDHRAPRADESH,5th Pass
BJP,0,0,10000,JHARKHAND,Graduate
BJP,0,40000,1400,MAHARASHTRA,12th Pass
IND,0,20000,300,WESTBENGAL,Post Graduate
NCP,0,20000,1200,ANDHRAPRADESH,Graduate
BJP,11,30000,900,WESTBENGAL,Graduate
AIADMK,0,20000,2830000,NAGALAND,Post Graduate
INC,3,80000,300,WESTBENGAL,8th Pass
BJP,1,100000,10000,RAJASTHAN,Graduate
AAP,0,20000,4900,BIHAR,Graduate Professional
AITC,0,30000,0,KARNATAKA,Graduate Professional
TDP,0,50000,50000,MADHYAPRADESH,8th Pass
BJP,2,830000,500,ANDHRAPRADESH,Graduate
NPP,0,1300000,900,JHARKHAND,Post Graduate
BJP,0,1900,80000,TAMILNADU,10th Pass
BJD,5,40000,40000,CHHATTISGARH,Graduate Professional
BJP,173,4200,200,MADHYAPRADESH,Others
BJP,0,6500,40000,GUJARAT,12th Pass
SP,0,50000,0,HIMACHALPRADESH,Graduate Professional
BJP,0,20000,49,KARNATAKA,Graduate Professional
BJP,2,10000,4200,WESTBENGAL,12th Pass
JMM,0,0,180000,PUNJAB,10th Pass
YSRCP,21,10000,0,BIHAR,Post Graduate
JD(U),3,250000,800,ARUNACHALPRADESH,Graduate
IND,0,80000,20000,UTTARPRADESH,Graduate
AIADMK,10,480000,1800,TAMILNADU,8th Pass
CPI(M),0,8400,9700,WESTBENGAL,Graduate Professional
BJP,2,30000,2000,TAMILNADU,12th Pass
BJP,0,130000,10000,PUDUCHERRY,Graduate Professional
JD(U),0,10000,1600,JHARKHAND,Graduate
BJP,0,2400,0,TAMILNADU,Graduate Professional
DMK,1,0,8700,JHARKHAND,Graduate
INC,2,180000,190000,TAMILNADU,Post Graduate
DMK,0,950000,20000,KERALA,Graduate
AIADMK,1,10000,10000,WESTBENGAL,Graduate
BJP,0,70000,0,NAGALAND,12th Pass
BJP,0,7600,0,BIHAR,Graduate Professional
INC,0,530000,2800,BIHAR,Graduate
BJP,2,80000,100,RAJASTHAN,Post Graduate
INC,173,480000,20000,TAMILNADU,10th Pass
IND,1,30000,7900,MAHARASHTRA,10th Pass
BJP,0,90000,10000,ASSAM,12th Pass
BJP,0,230000,200,RAJASTHAN,Graduate Professional
BJP,0,10000,6500,ARUNACHALPRADESH,Graduate
INC,0,170000,4100,DELHI,Graduate
YSRCP,1,3300,0,RAJASTHAN,10th Pass
BJP,1,30000,2300,JHARKHAND,Graduate
BJP,0,10000,1700,TRIPURA,Graduate
BJP,23,10000,1600,JHARKHAND,Post Graduate
AAP,2,80000,10000,HARYANA,Post Graduate
BJP,0,6300,800,KERALA,Literate
SP,4,180000,3000,RAJASTHAN,Graduate
BJP,0,10000,0,DELHI,Graduate
BJP,0,10000,1100,GOA,12th Pass
YSRCP,0,6300,30000,MAHARASHTRA,Graduate Professional
NPP,1,2200,5700,GUJARAT,12th Pass
BJP,1,1200,6200,ASSAM,12th Pass
BJP,16,7100,800,MADHYAPRADESH,Graduate Professional
YSRCP,2,160000,30000,PUNJAB,10th Pass
BJP,3,20000,4200,RAJASTHAN,Post Graduate
NCP,4,200000,4100,BIHAR,10th Pass
INC,1,40000,1300,BIHAR,Doctorate
BJP,0,5200,40000,WESTBENGAL,Graduate
BJP,0,8800,10000,MAHARASHTRA,Graduate
BJD,0,100000,180000,MAHARASHTRA,Post Graduate
INC,1,8300,30000,KERALA,12th Pass
AAP,0,0,18,KARNATAKA,Graduate
INC,8,140000,760000,TAMILNADU,10th Pass
AITC,1,60000,20000,HARYANA,12th Pass
DMK,5,910000,1200,UTTARPRADESH,10th Pass
BJP,12,100000,30000,TAMILNADU,Graduate
SHS,0,8900,0,KARNATAKA,Graduate
INC,0,950000,800,MAHARASHTRA,Graduate Professional
SP,22,150000,1800,KARNATAKA,Graduate
BJP,0,4600,9000,MEGHALAYA,Post Graduate
BJP,4,40000,8400,WESTBENGAL,Post Graduate
INC,3,50000,0,ASSAM,Graduate
SHS,0,20000,100,NAGALAND,Graduate
