Party,Criminal Case,Total Assets,Liabilities,state,Education,isDoctor,isAdvocate,isSC,isST
SP,0,270000,4600,BIHAR,Post Graduate,0.0,0.0,0.0,0.0
BJP,0,30000,1900,WESTBENGAL,Post Graduate,0.0,0.0,0.0,0.0
SP,0,4400,1300,MAHARASHTRA,10th Pass,0.0,0.0,0.0,0.0
INC,1,160000,40000,ANDHRAPRADESH,10th Pass,0.0,0.0,0.0,0.0
BJP,4,3600,3400,HARYANA,Graduate Professional,0.0,0.0,0.0,0.0
BJP,1,10000,10000,TAMILNADU,10th Pass,0.0,0.0,0.0,0.0
BJP,0,40000,100,GUJARAT,10th Pass,0.0,0.0,0.0,0.0
BJP,0,190000,3000,BIHAR,12th Pass,0.0,0.0,0.0,0.0
BJP,1,10000,0,MADHYAPRADESH,Graduate Professional,0.0,0.0,0.0,0.0
BJP,0,20000,10000,BIHAR,12th Pass,0.0,0.0,0.0,0.0
BJP,3,10000,110000,DELHI,Graduate,0.0,0.0,0.0,0.0
YSRCP,0,10000,10000,MAHARASHTRA,Others,0.0,0.0,0.0,0.0
BJP,1,100000,300,CHHATTISGARH,Post Graduate,0.0,0.0,0.0,0.0
CPI,1,40000,500,MAHARASHTRA,Graduate Professional,0.0,0.0,0.0,0.0
DMK,1,60000,40000,TRIPURA,Post Graduate,0.0,0.0,0.0,0.0
BJP,1,130000,40000,UTTARPRADESH,10th Pass,0.0,0.0,0.0,0.0
BJP,0,70000,10000,BIHAR,Graduate,1.0,0.0,0.0,0.0
AAP,1,130000,6400,UTTARPRADESH,Graduate,0.0,0.0,0.0,0.0
RJD,6,320000,130000,HIMACHALPRADESH,12th Pass,0.0,0.0,0.0,0.0
RJD,1,20000,4100,RAJASTHAN,Graduate,0.0,0.0,0.0,0.0
AAP,0,100000,100,KARNATAKA,8th Pass,0.0,0.0,0.0,0.0
BJP,9,20000,5300,TAMILNADU,10th Pass,0.0,0.0,0.0,0.0
BJP,0,10000,10000,BIHAR,Graduate,0.0,0.0,0.0,0.0
INC,99,0,30000,ODISHA,Graduate Professional,0.0,0.0,0.0,0.0
BJP,8,6700,600,KARNATAKA,10th Pass,0.0,0.0,0.0,0.0
JMM,0,70000,30000,UTTARPRADESH,Graduate Professional,0.0,0.0,0.0,0.0
INC,0,10000,30000,KERALA,Graduate,0.0,0.0,0.0,0.0
BJP,0,70000,10000,KARNATAKA,Graduate,0.0,0.0,0.0,0.0
RJD,0,610000,200,PUNJAB,8th Pass,0.0,0.0,0.0,0.0
BJP,2,20000,200,PUNJAB,12th Pass,0.0,0.0,0.0,0.0
INC,0,30000,8100,MAHARASHTRA,Doctorate,1.0,0.0,0.0,0.0
BJP,0,210000,0,KARNATAKA,Post Graduate,0.0,0.0,0.0,0.0
BJD,8,4600,100,GUJARAT,10th Pass,0.0,0.0,0.0,0.0
BJP,1,20000,20000,TAMILNADU,10th Pass,0.0,0.0,0.0,0.0
BJP,1,220000,7400,MANIPUR,10th Pass,0.0,0.0,0.0,0.0
AITC,0,20000,10000,RAJASTHAN,Graduate,0.0,0.0,0.0,0.0
BJP,0,20000,200,UTTARPRADESH,Graduate,0.0,0.0,0.0,0.0
BJP,1,7900,1300,KARNATAKA,10th Pass,1.0,0.0,0.0,0.0
BJP,1,30000,1700,HARYANA,10th Pass,0.0,0.0,0.0,0.0
RJD,0,30000,2000,MAHARASHTRA,Graduate,0.0,0.0,0.0,0.0
AAP,4,40000,10000,UTTARPRADESH,Graduate Professional,0.0,0.0,0.0,0.0
NPP,0,80000,200,BIHAR,Post Graduate,0.0,0.0,0.0,0.0
BJP,1,30000,10000,BIHAR,5th Pass,0.0,0.0,0.0,0.0
YSRCP,0,0,20000,ANDHRAPRADESH,10th Pass,0.0,0.0,0.0,0.0
BJP,1,90000,2800,MANIPUR,12th Pass,0.0,0.0,0.0,0.0
AAP,0,180000,1800,DELHI,Graduate,0.0,0.0,0.0,0.0
CPI(M),4,210000,1200,KERALA,Graduate Professional,0.0,1.0,0.0,0.0
BJP,6,0,0,RAJASTHAN,Graduate,1.0,0.0,0.0,0.0
BJP,1,0,200,KARNATAKA,Graduate Professional,0.0,0.0,0.0,0.0
BJP,1,80000,8800,RAJASTHAN,10th Pass,0.0,0.0,0.0,0.0
BJD,0,8700,400,TAMILNADU,Graduate Professional,0.0,0.0,0.0,0.0
Sikkim Krantikari Morcha,0,10000,120000,BIHAR,Graduate Professional,0.0,0.0,0.0,0.0
BJP,3,40000,10000,JHARKHAND,10th Pass,0.0,0.0,0.0,0.0
NPP,0,660000,5800,BIHAR,10th Pass,1.0,0.0,0.0,0.0
BJP,1,50000,20000,WESTBENGAL,Graduate,0.0,0.0,0.0,0.0
SP,0,10000,1600,KARNATAKA,Doctorate,1.0,0.0,0.0,0.0
SP,0,2200,40000,UTTARPRADESH,Post Graduate,0.0,0.0,0.0,0.0
AIADMK,0,5800,0,ANDHRAPRADESH,12th Pass,0.0,0.0,0.0,0.0
BJP,1,420000,1200,ANDHRAPRADESH,Graduate,0.0,0.0,0.0,0.0
BJP,12,110000,91,BIHAR,Others,0.0,0.0,0.0,0.0
SHS,3,20000,1200,KARNATAKA,Graduate Professional,0.0,0.0,0.0,0.0
Sikkim Krantikari Morcha,0,90000,1300,RAJASTHAN,Post Graduate,0.0,0.0,0.0,0.0
BJP,3,8400,180000,TAMILNADU,Doctorate,0.0,0.0,0.0,0.0
AAP,30,4000,4200,BIHAR,Graduate Professional,0.0,0.0,0.0,0.0
BJP,0,10000,0,WESTBENGAL,Post Graduate,0.0,0.0,0.0,0.0
JD(S),0,10000,1600,MANIPUR,10th Pass,0.0,0.0,0.0,0.0
BJP,1,230000,900,ANDHRAPRADESH,12th Pass,0.0,0.0,0.0,0.0
INC,0,7500,3600,ANDHRAPRADESH,Post Graduate,0.0,0.0,0.0,0.0
SP,0,20000,400,BIHAR,Post Graduate,0.0,0.0,0.0,0.0
BJP,0,20000,0,ANDHRAPRADESH,Graduate Professional,0.0,0.0,0.0,0.0
SHS,1,20000,30000,RAJASTHAN,Graduate Professional,0.0,0.0,0.0,0.0
INC,6,660000,1500,HIMACHALPRADESH,12th Pass,0.0,0.0,0.0,0.0
BJP,1,2300,100,CHHATTISGARH,Graduate,0.0,0.0,0.0,0.0
BJP,0,0,3400,BIHAR,Post Graduate,0.0,0.0,0.0,0.0
AAP,2,0,1400,MADHYAPRADESH,8th Pass,0.0,0.0,0.0,0.0
RJD,1,170000,10000,TAMILNADU,Graduate,0.0,0.0,0.0,0.0
BJP,0,40000,0,TAMILNADU,Doctorate,1.0,0.0,0.0,0.0
AAP,0,7900,0,ANDHRAPRADESH,10th Pass,1.0,0.0,0.0,0.0
INC,0,20000,3200,MADHYAPRADESH,Graduate,0.0,0.0,0.0,0.0
BJP,0,0,1300,NAGALAND,Post Graduate,0.0,0.0,0.0,0.0
IND,9,20000,0,JHARKHAND,10th Pass,0.0,0.0,0.0,0.0
DMK,1,80000,3000,WESTBENGAL,10th Pass,0.0,0.0,0.0,0.0
INC,1,8500,100,BIHAR,Post Graduate,0.0,0.0,0.0,0.0
NPP,99,1200,270000,GUJARAT,Graduate,0.0,0.0,0.0,0.0
BJP,0,150000,1800,JHARKHAND,Literate,0.0,0.0,0.0,0.0
BJP,0,80000,80000,RAJASTHAN,Others,1.0,0.0,0.0,0.0
BJP,0,190000,9500,KARNATAKA,12th Pass,0.0,0.0,0.0,0.0
SP,0,1800,10000,ODISHA,Others,0.0,0.0,0.0,0.0
JD(U),0,130000,0,TAMILNADU,12th Pass,0.0,0.0,0.0,0.0
BJP,0,30000,10000,MAHARASHTRA,Graduate,0.0,0.0,0.0,0.0
BJP,1,20000,900,TAMILNADU,Graduate Professional,0.0,0.0,0.0,0.0
BJP,1,80000,8800,ANDHRAPRADESH,Post Graduate,0.0,0.0,0.0,0.0
BJP,0,150000,10000,BIHAR,10th Pass,0.0,0.0,0.0,0.0
AAP,1,9100,2400,HARYANA,12th Pass,0.0,0.0,0.0,0.0
INC,1,9400,1400,KARNATAKA,5th Pass,0.0,0.0,0.0,0.0
BJP,1,110000,400,MAHARASHTRA,Graduate Professional,0.0,0.0,0.0,0.0
BJP,3,0,0,KARNATAKA,Post Graduate,0.0,0.0,0.0,0.0
CPI(M),1,10000,1800,KERALA,Graduate Professional,0.0,1.0,0.0,0.0
BJP,0,1890000,3500,RAJASTHAN,Graduate Professional,0.0,0.0,0.0,0.0
DMK,1,150000,800,NAGALAND,Graduate,0.0,0.0,0.0,0.0
RJD,0,3500,2200,BIHAR,Graduate,0.0,0.0,0.0,0.0
INC,0,290000,100,MEGHALAYA,10th Pass,0.0,0.0,0.0,0.0
DMK,1,0,1500,ODISHA,12th Pass,0.0,0.0,0.0,0.0
BJP,0,80000,5300,RAJASTHAN,Graduate,0.0,0.0,0.0,0.0
AIADMK,0,0,10000,TAMILNADU,Others,0.0,0.0,0.0,0.0
INC,1,10000,1100,BIHAR,12th Pass,0.0,0.0,0.0,0.0
INC,0,150000,1200,MAHARASHTRA,Post Graduate,0.0,0.0,0.0,0.0
BJP,0,1750000,7500,CHHATTISGARH,Graduate,0.0,0.0,0.0,0.0
DMK,1,130000,900,BIHAR,Others,0.0,0.0,0.0,0.0
BJP,1,7700,50000,BIHAR,12th Pass,1.0,0.0,0.0,0.0
BJP,0,200000,10000,RAJASTHAN,Graduate Professional,0.0,0.0,0.0,0.0
BJP,0,80000,10000,MAHARASHTRA,Graduate Professional,0.0,0.0,0.0,0.0
BJP,0,480000,0,WESTBENGAL,Post Graduate,0.0,0.0,0.0,0.0
DMK,1,20000,0,TAMILNADU,Graduate Professional,0.0,0.0,0.0,0.0
BJP,0,20000,0,RAJASTHAN,Graduate Professional,0.0,0.0,0.0,0.0
CPI(M),0,0,200,KARNATAKA,Post Graduate,0.0,0.0,0.0,0.0
BJP,14,120000,200,KARNATAKA,Others,1.0,0.0,0.0,0.0
YSRCP,0,370000,480000,KARNATAKA,10th Pass,0.0,0.0,0.0,0.0
BJP,1,60000,1000,HARYANA,Graduate Professional,0.0,0.0,0.0,0.0
BJP,3,1300000,300,ASSAM,10th Pass,0.0,0.0,0.0,0.0
BJP,1,280000,50000,HARYANA,10th Pass,0.0,0.0,0.0,0.0
BJP,8,1600,2000,MANIPUR,Graduate Professional,0.0,0.0,0.0,0.0
INC,0,110000,5900,RAJASTHAN,Graduate Professional,0.0,0.0,0.0,0.0
CPI(M),1,60000,340000,KERALA,Graduate Professional,0.0,1.0,0.0,0.0
DMK,1,20000,0,MADHYAPRADESH,Graduate,0.0,0.0,0.0,0.0
SP,1,80000,200,ASSAM,12th Pass,0.0,0.0,0.0,0.0
INC,0,30000,0,DELHI,Graduate,0.0,0.0,0.0,0.0
BJP,0,40000,40000,HARYANA,Graduate Professional,0.0,0.0,0.0,0.0
AAP,3,0,10000,WESTBENGAL,Graduate,0.0,0.0,0.0,0.0
NCP,0,40000,10000,KARNATAKA,Doctorate,1.0,0.0,0.0,0.0
BJP,6,30000,1200,HIMACHALPRADESH,10th Pass,1.0,0.0,0.0,0.0
BJP,0,0,2500,RAJASTHAN,Graduate Professional,1.0,0.0,0.0,0.0
INC,8,150000,20000,ODISHA,Graduate,0.0,0.0,0.0,0.0
SHS,3,40000,2400,TRIPURA,Graduate Professional,0.0,0.0,0.0,0.0
BJP,0,80000,0,ASSAM,Doctorate,1.0,0.0,0.0,0.0
SHS,0,280000,1200,BIHAR,Post Graduate,0.0,0.0,0.0,0.0
BJP,0,40000,0,UTTARPRADESH,10th Pass,0.0,0.0,0.0,0.0
BJP,0,10000,30000,MADHYAPRADESH,Post Graduate,0.0,0.0,0.0,0.0
DMK,5,40000,1600,TAMILNADU,10th Pass,0.0,0.0,0.0,0.0
AAP,0,1590000,70000,ANDHRAPRADESH,12th Pass,0.0,0.0,0.0,0.0
BJP,0,40000,1600,UTTARAKHAND,Graduate,0.0,0.0,0.0,0.0
BJP,0,70,8100,BIHAR,10th Pass,0.0,0.0,0.0,0.0
AITC,0,10000,1600,WESTBENGAL,Graduate,0.0,0.0,0.0,0.0
BJP,0,40000,700,MADHYAPRADESH,Graduate,0.0,0.0,0.0,0.0
BJP,1,0,2200,TAMILNADU,10th Pass,0.0,0.0,0.0,0.0
BJP,0,20000,3000,TAMILNADU,10th Pass,0.0,0.0,0.0,0.0
BJD,0,270000,1800,RAJASTHAN,Graduate Professional,0.0,0.0,0.0,0.0
BJP,0,150000,20000,RAJASTHAN,10th Pass,0.0,0.0,0.0,0.0
BJD,173,20000,4600,PUNJAB,12th Pass,1.0,0.0,0.0,0.0
Tipra Motha Party,0,9100,5600,DELHI,10th Pass,0.0,0.0,0.0,0.0
BJP,0,80000,1600,UTTARPRADESH,Post Graduate,0.0,0.0,0.0,0.0
BJP,0,20000,0,WESTBENGAL,Graduate Professional,0.0,0.0,0.0,0.0
BJP,0,270000,1600,UTTARPRADESH,Post Graduate,0.0,0.0,0.0,0.0
INC,1,50000,0,KARNATAKA,Graduate Professional,0.0,0.0,0.0,0.0
AITC,1,0,1700,KARNATAKA,12th Pass,0.0,0.0,0.0,0.0
NPP,0,30000,0,TAMILNADU,Post Graduate,0.0,0.0,0.0,0.0
BJP,5,30000,0,KARNATAKA,Post Graduate,0.0,0.0,0.0,0.0
BJP,6,20000,4200,BIHAR,10th Pass,0.0,0.0,0.0,0.0
BJP,1,80000,2900,MADHYAPRADESH,12th Pass,0.0,0.0,0.0,0.0
INC,0,4500,70000,UTTARPRADESH,Graduate Professional,0.0,0.0,0.0,0.0
RJD,1,20000,0,MADHYAPRADESH,Graduate,0.0,0.0,0.0,0.0
SP,13,270000,14,ODISHA,10th Pass,0.0,0.0,0.0,0.0
BJP,0,8900,10000,BIHAR,10th Pass,1.0,0.0,0.0,0.0
DMK,6,190000,750000,TAMILNADU,Graduate Professional,1.0,0.0,0.0,0.0
RJD,0,0,3900,SIKKIM,Graduate,0.0,0.0,0.0,0.0
SHS,0,70,2000,DELHI,Graduate Professional,0.0,0.0,0.0,0.0
AITC,5,1220000,6000,ASSAM,Graduate Professional,1.0,0.0,0.0,0.0
BJP,2,20000,5000,ARUNACHALPRADESH,Graduate Professional,0.0,0.0,0.0,0.0
IND,0,6500,6000,KARNATAKA,8th Pass,1.0,0.0,0.0,0.0
YSRCP,1,2450000,8100,ANDHRAPRADESH,Graduate,0.0,0.0,0.0,0.0
BJP,1,0,1900,ANDHRAPRADESH,10th Pass,0.0,0.0,0.0,0.0
BJP,0,7000,2400,KARNATAKA,10th Pass,0.0,0.0,0.0,0.0
SP,11,30000,0,MAHARASHTRA,12th Pass,0.0,0.0,0.0,0.0
JD(U),0,170000,10000,RAJASTHAN,12th Pass,0.0,0.0,0.0,0.0
BJP,0,60000,200,UTTARPRADESH,10th Pass,0.0,0.0,0.0,0.0
INC,0,200000,0,UTTARAKHAND,12th Pass,0.0,0.0,0.0,0.0
BJP,9,20000,6000,ANDHRAPRADESH,Graduate,0.0,0.0,0.0,0.0
IND,0,6900,2400,ANDHRAPRADESH,10th Pass,0.0,0.0,0.0,0.0
BJP,0,40000,1000,DELHI,Doctorate,0.0,0.0,0.0,0.0
CPI(M),0,10000,300,KERALA,Graduate Professional,0.0,1.0,0.0,0.0
BJD,1,630000,12,MANIPUR,12th Pass,1.0,0.0,0.0,0.0
AAP,2,6500,5400,MAHARASHTRA,Graduate,0.0,0.0,0.0,0.0
BJP,0,8000,9100,KARNATAKA,10th Pass,0.0,0.0,0.0,0.0
AITC,0,20000,1700,KARNATAKA,12th Pass,0.0,0.0,0.0,0.0
YSRCP,1,120000,4300,JHARKHAND,Graduate Professional,0.0,0.0,0.0,0.0
BJP,1,10000,200,TAMILNADU,Graduate,0.0,0.0,0.0,0.0
BJP,0,10000,3400,ANDHRAPRADESH,12th Pass,0.0,0.0,0.0,0.0
INC,29,830000,20000,BIHAR,Graduate,0.0,0.0,0.0,0.0
BJP,14,190000,9500,CHHATTISGARH,Graduate Professional,0.0,0.0,0.0,0.0
SHS,0,0,2200,PUNJAB,12th Pass,1.0,0.0,0.0,0.0
YSRCP,0,90000,18,ARUNACHALPRADESH,Graduate,0.0,0.0,0.0,0.0
INC,0,160000,0,MANIPUR,8th Pass,0.0,0.0,0.0,0.0
BJD,3,8700,120000,TAMILNADU,10th Pass,0.0,0.0,0.0,0.0
DMK,9,20000,1170000,JHARKHAND,Graduate,0.0,0.0,0.0,0.0
BJP,0,50000,1500,MAHARASHTRA,10th Pass,0.0,0.0,0.0,0.0
AAP,0,100000,0,MAHARASHTRA,Graduate Professional,0.0,0.0,0.0,0.0
INC,0,1600,3800,RAJASTHAN,Graduate Professional,0.0,0.0,0.0,0.0
BJP,0,0,10000,KARNATAKA,Post Graduate,0.0,0.0,0.0,0.0
BJP,0,0,0,KARNATAKA,Graduate,0.0,0.0,0.0,0.0
IND,1,9400,5100,MAHARASHTRA,12th Pass,0.0,0.0,0.0,0.0
BJP,0,30000,3500,MAHARASHTRA,12th Pass,1.0,0.0,0.0,0.0
BJP,1,90000,3100,TAMILNADU,Graduate,0.0,0.0,0.0,0.0
BJP,1,110000,10000,TAMILNADU,Graduate,1.0,0.0,0.0,0.0
DMK,1,5600,500,DELHI,Graduate Professional,0.0,0.0,0.0,0.0
INC,5,2420000,14,UTTARAKHAND,Graduate Professional,0.0,0.0,0.0,0.0
DMK,1,50000,1300,MAHARASHTRA,Graduate Professional,0.0,0.0,0.0,0.0
BJP,0,110000,2000,TRIPURA,Graduate,0.0,0.0,0.0,0.0
IND,4,70000,0,TAMILNADU,10th Pass,0.0,0.0,0.0,0.0
BJD,13,20000,1600,ANDHRAPRADESH,Graduate,0.0,0.0,0.0,0.0
IND,0,120000,5800,RAJASTHAN,Post Graduate,0.0,0.0,0.0,0.0
IND,5,630000,500,MAHARASHTRA,Graduate Professional,0.0,0.0,0.0,0.0
BJP,0,0,6000,UTTARPRADESH,Graduate Professional,0.0,0.0,0.0,0.0
BJP,13,240000,400,BIHAR,Post Graduate,0.0,0.0,0.0,0.0
