ID,Candidate,Constituency ∇,Party,Criminal Case,Total Assets,Liabilities,state,Education
46,Keshubhai Shivdas Patel,BHUJ,BJP,0,6 Crore+,10 Lac+,GUJARAT,5th Pass
47,Rafiqur Rahaman,AMDANGA,AITC,1,1 Crore+,8 Lac+,WESTBENGAL,Graduate
48,Alka Singh,SANDILA,BJP,0,79 Lac+,3 Lac+,UTTARPRADESH,Post Graduate
49,Babu Singh Rathor,SHERGARH,BJP,0,2 Crore+,25 Lac+,RAJASTHAN,Post Graduate
50,Adv. A. N. Shamseer,THALASSERY,CPI(M),6,34 Lac+,0,KERALA,Post Graduate
51,A.Soundarapandian,LALGUDI,DMK,12,1 Crore+,29 Lac+,TAMILNADU,12th Pass
52,Suresh Kumar Rautray,JATANI,INC,0,17 Crore+,57 Lac+,ODISHA,10th Pass
53,Arvind Kejriwal,NEW DELHI,AAP,13,3 Crore+,0,DELHI,Graduate Professional
54,Preeti Tomar,TRI NAGAR,AAP,0,1 Crore+,1 Lac+,DELHI,Post Graduate
55,Kumsi Sidisow,THRIZINO-BURAGAON,BJP,1,4 Crore+,8 Lac+,ARUNACHALPRADESH,Graduate
56,Taneti Vanita,KOVVUR,YSRCP,0,10 Crore+,1 Crore+,ANDHRAPRADESH,Post Graduate
57,Vinay Kumar,GURUA,RJD,1,6 Crore+,1 Crore+,BIHAR,Graduate
58,Manoj Kumar,SUJANGARH (SC),INC,0,13 Crore+,2 Crore+,RAJASTHAN,Graduate Professional
59,Chamra Linda,BISHUNPUR (ST),JMM,1,58 Lac+,3 Lac+,JHARKHAND,Graduate
60,Thounaojam Shyamkumar,ANDRO,BJP,2,4 Crore+,55 Lac+,MANIPUR,10th Pass
61,Jogen Mohan,MAHMARA,BJP,0,1 Crore+,16 Lac+,ASSAM,12th Pass
62,Janghemlung Panmei,TAMENGLONG (ST),NPP,0,2 Crore+,0,MANIPUR,Graduate
63,Aditi Sunil Tatkare,SHRIVARDHAN,NCP,1,39 Lac+,15 Lac+,MAHARASHTRA,Post Graduate
64,Ram Narayan Mandal,BANKA,BJP,1,1 Crore+,2 Lac+,BIHAR,Literate
65,Vishwanath Singh (Mulam Bhaiya),TENDUKHEDA,BJP,0,2 Crore+,0,MADHYAPRADESH,Graduate
66,Adv. U. Prathibha,KAYAMKULAM,CPI(M),4,49 Lac+,24 Lac+,KERALA,Graduate Professional
67,Manoj Kumar Pandey,UNCHAHAR,SP,2,16 Crore+,1 Crore+,UTTARPRADESH,Graduate
68,Dilip Jaiswal,KOTMA,BJP,1,7 Crore+,1 Lac+,MADHYAPRADESH,12th Pass
69,Charanjit Singh,CHAMKAUR SAHIB (SC),AAP,1,0,1 Crore+,PUNJAB,Post Graduate
70,Pushpa Devi,CHHATARPUR (SC),BJP,0,58 Lac+,21 Lac+,JHARKHAND,Literate
71,Ananta Narayan Jena,BHUBANESWAR CENTRAL,BJD,0,0,0,ODISHA,Graduate Professional
72,Ashokan.G,SIVAKASI,INC,3,49 Crore+,31 Crore+,TAMILNADU,Graduate
73,Divyaraj Singh,SIRMOUR,BJP,0,0,3 Crore+,MADHYAPRADESH,Post Graduate
74,Geddam Srinivas Naidu,NIDADAVOLE,YSRCP,0,34 Crore+,16 Crore+,ANDHRAPRADESH,Post Graduate
75,Madhuri Satish Misal,PARVATI,BJP,1,88 Crore+,6 Crore+,MAHARASHTRA,Graduate
76,Bina Mondal,SWARUPNAGAR (SC),AITC,0,2 Crore+,0,WESTBENGAL,Graduate
77,Karemore Raju Manikrao,TUMSAR,NCP,3,11 Crore+,5 Crore+,MAHARASHTRA,12th Pass
78,Manohar Prasad Singh,MANIHARI (ST),INC,0,0,0,BIHAR,Post Graduate
79,Santosh Kumari Katariaa,BALACHAUR,AAP,0,53 Lac+,7 Lac+,PUNJAB,Others
80,Uday Kangad,RAJKOT EAST,BJP,1,9 Crore+,1 Crore+,GUJARAT,8th Pass
81,Dr. Raman Singh,RAJNANDGAON,BJP,0,15 Crore+,21 Lac+,CHHATTISGARH,Graduate Professional
82,Abhijeet Shah (Ankit Baba),TIMARNI (ST),INC,1,2 Crore+,1 Crore+,MADHYAPRADESH,Graduate Professional
83,Manoj Nirbhay Singh Patel,DEPALPUR,BJP,0,0,9 Crore+,MADHYAPRADESH,10th Pass
84,Geeta Barwar,BHOPALGARH (SC),INC,0,1 Crore+,40 Lac+,RAJASTHAN,Graduate Professional
85,Shankarlal Decha,SAGWARA (ST),BJP,0,1 Crore+,10 Lac+,RAJASTHAN,10th Pass
86,Chanda-Surendra Singh Gour,KHARGAPUR,INC,0,3 Crore+,13 Lac+,MADHYAPRADESH,12th Pass
87,M Vijin,KALLIASSERI,CPI(M),10,14 Lac+,9 Lac+,KERALA,Graduate
88,H. A. Iqbal Hussain,RAMANAGARAM,INC,5,95 Crore+,8 Crore+,KARNATAKA,Graduate
89,Soumen Roy,KALIAGANJ (SC),BJP,3,59 Lac+,4 Lac+,WESTBENGAL,Graduate
90,Ashish Babaji Shelar,VANDRE WEST,BJP,3,0,1 Crore+,MAHARASHTRA,10th Pass
91,M.Jagan Moorthy,KILVAITHINANKUPPAM (SC),AIADMK,2,1 Crore+,40 Lac+,TAMILNADU,12th Pass
92,Pochimareddy Ravindranath Reddy,KAMALAPURAM,YSRCP,7,40 Crore+,14 Crore+,ANDHRAPRADESH,12th Pass
93,Prakash Vaikunth Phaterpekar,CHEMBUR,SHS,0,4 Crore+,0,MAHARASHTRA,10th Pass
94,Harvinder Kalyan,GHARAUNDA,BJP,0,1 Crore+,18 Lac+,HARYANA,Graduate Professional
95,Santosh Varkade,SIHORA (ST),BJP,0,25 Lac+,12 Lac+,MADHYAPRADESH,Post Graduate
96,Kailas Kisanrao Gorantyal,JALNA,INC,4,8 Crore+,64 Lac+,MAHARASHTRA,10th Pass
97,Haji Irfan Solanki,SISHAMAU,SP,3,9 Crore+,0,UTTARPRADESH,12th Pass
98,G Ikuto Zhimomi,AGHUNATO (ST),NDPP,1,11 Crore+,0,NAGALAND,Graduate
99,Dr. Abhe Singh Yadav,NANGAL CHAUDHRY,BJP,0,9 Crore+,8 Lac+,HARYANA,Doctorate
100,Dulam Nageswara Rao,KAIKALUR,YSRCP,3,14 Crore+,3 Crore+,ANDHRAPRADESH,8th Pass
101,Seuli Saha,KESHPUR (SC),AITC,0,1 Crore+,1 Lac+,WESTBENGAL,Graduate Professional
102,Kavindra Chaudhary,KAPTANGANJ,SP,1,15 Crore+,2 Crore+,UTTARPRADESH,Graduate
103,Jadab Lal Debnath,BAGBASSA,BJP,0,79 Lac+,0,TRIPURA,12th Pass
104,Mungantiwar Sudhir Sachchidanand,BALLARPUR,BJP,2,11 Crore+,1 Crore+,MAHARASHTRA,Post Graduate
105,Solanki Ramanbhai Bhikhabhai,BORSAD,BJP,0,67 Lac+,12 Lac+,GUJARAT,10th Pass
106,Himanshu Yadav,SHEKHUPUR,SP,0,0,0,UTTARPRADESH,12th Pass
107,Dr. Darshna Chandubhai Deshmukh(Vasava),NANDOD (ST),BJP,0,3 Crore+,41 Lac+,GUJARAT,Post Graduate
108,Alavani Parag,VILE PARLE,BJP,0,25 Crore+,2 Crore+,MAHARASHTRA,Graduate Professional
109,Janakbhai Talaviya,LATHI,BJP,1,58 Crore+,4 Crore+,GUJARAT,12th Pass
110,Arunava Sen (Raja),BAGNAN,AITC,1,66 Lac+,0,WESTBENGAL,12th Pass
111,Rajesh Rishi,JANAKPURI,AAP,2,0,98 Thou+,DELHI,Graduate
112,Atta Surja Kanta,NARAYANGARH,AITC,0,1 Crore+,40 Lac+,WESTBENGAL,Post Graduate
113,Nadiar Chand Bouri,PARA (SC),BJP,0,16 Lac+,6 Lac+,WESTBENGAL,12th Pass
114,Bhimrao Ramjee Keram,KINWAT,BJP,1,1 Crore+,22 Lac+,MAHARASHTRA,10th Pass
115,Anuj Sharma,DHARSIWA,BJP,0,8 Crore+,51 Lac+,CHHATTISGARH,Post Graduate
116,Bhupinder Singh Hooda,GARHI SAMPLA-KILOI,INC,7,15 Crore+,13 Lac+,HARYANA,Graduate Professional
117,Keshaji Shivaji Chauhan,DEODAR,BJP,0,37 Lac+,10 Lac+,GUJARAT,12th Pass
118,Vijaya Basker C,VIRALIMALAI,AIADMK,1,0,16 Crore+,TAMILNADU,Graduate Professional
119,Viswarupu Pinipe,AMALAPURAM,YSRCP,1,3 Crore+,98 Lac+,ANDHRAPRADESH,Graduate Professional
120,Sanjivreddy Bapurao Bodkurwar,WANI,BJP,0,6 Crore+,16 Lac+,MAHARASHTRA,Graduate
121,Miani D. Shira,AMPATI (ST),AITC,0,8 Crore+,1 Crore+,MEGHALAYA,Graduate
122,Rambabu Ambati,SATTENAPALLI,YSRCP,2,15 Crore+,1 Crore+,ANDHRAPRADESH,Graduate Professional
123,Ashokrao Shankarrao Chavan,BHOKAR,INC,3,50 Crore+,4 Crore+,MAHARASHTRA,Post Graduate
124,Mangesh Anant Kudalkar,KURLA (SC),SHS,0,4 Crore+,87 Lac+,MAHARASHTRA,12th Pass
125,Phosum Khimhun,CHANGLANG SOUTH,BJP,0,0,0,ARUNACHALPRADESH,12th Pass
126,Chandra Nath Sinha,BOLPUR,AITC,0,4 Crore+,0,WESTBENGAL,Post Graduate
127,Shalini Mishra,KESARIA,JD(U),1,3 Crore+,1 Crore+,BIHAR,Post Graduate
128,Mukta Raja,ALIGARH,BJP,0,0,47 Lac+,UTTARPRADESH,12th Pass
129,Alexander Laloo Hek,PYNTHORUMKHRAH,BJP,0,16 Crore+,45 Lac+,MEGHALAYA,12th Pass
130,K K Shailaja Teacher,MATTANNUR,CPI(M),5,1 Crore+,1 Lac+,KERALA,Graduate Professional
131,Veerendra Singh Lodhi,BANDA,BJP,0,2 Crore+,8 Lac+,MADHYAPRADESH,Post Graduate
132,Namita Saha,MAGRAHAT PURBA (SC),AITC,0,0,0,WESTBENGAL,Graduate Professional
133,Sheikh Noorul Hassan,KHETRIGAO,NPP,1,89 Lac+,10 Lac+,MANIPUR,Post Graduate
134,Vasundhara Raje,JHALRAPATAN,BJP,0,5 Crore+,0,RAJASTHAN,Graduate
135,Nand Lal,RAMPUR (SC),INC,4,2 Crore+,14 Lac+,HIMACHALPRADESH,Post Graduate
136,Santana Chakma,PECHARTHAL (ST),BJP,0,4 Lac+,21 Lac+,TRIPURA,Post Graduate
137,M B Patil,BABALESHWAR,INC,5,0,47 Crore+,KARNATAKA,Graduate Professional
138,Mamta Rakesh,BHAGWANPUR(SC),INC,0,4 Crore+,0,UTTARAKHAND,Post Graduate
139,Lakshmanan R,VILLUPURAM,DMK,2,19 Crore+,2 Crore+,TAMILNADU,Graduate Professional
140,Sengottaiyan K.A,GOBICHETTIPALAYAM,AIADMK,0,12 Crore+,90 Lac+,TAMILNADU,10th Pass
141,Dayal Das Baghel,NAWAGARH (SC),BJP,1,3 Crore+,43 Lac+,CHHATTISGARH,8th Pass
142,Bhera Ram Choudhary (Siyol),OSIAN,BJP,4,9 Crore+,2 Crore+,RAJASTHAN,Graduate
143,Saiyada Khatoon,DOMARIYAGANJ,SP,1,0,5 Lac+,UTTARPRADESH,Post Graduate
144,Samir Kumar Panja,UDAYNARAYANPUR,AITC,0,2 Crore+,0,WESTBENGAL,Graduate Professional
145,Pramod Reang,SANTIRBAZAR (ST),BJP,0,19 Lac+,23 Lac+,TRIPURA,12th Pass
146,Venkatachalam.A.G,ANTHIYUR,DMK,9,4 Crore+,74 Lac+,TAMILNADU,10th Pass
147,Amitabh Bajpai,ARYA NAGAR,SP,2,0,15 Lac+,UTTARPRADESH,Post Graduate
148,Baneswar Mahato,BALARAMPUR,BJP,3,30 Lac+,0,WESTBENGAL,12th Pass
149,M Rajagopalan,TRIKARIPUR,CPI(M),3,43 Lac+,15 Lac+,KERALA,12th Pass
150,I.C Balakrishnan,SULTHANBATHERY,INC,9,64 Lac+,18 Lac+,KERALA,8th Pass
151,Sankalp Amonkar,MORMUGAO,INC,5,7 Crore+,3 Crore+,GOA,Graduate
152,Satish Laxmanrao Jarkiholi,YEMKANAMARDI (ST),INC,2,175 Crore+,12 Crore+,KARNATAKA,12th Pass
153,Kamlesh Dhanda,KALAYAT,BJP,0,2 Crore+,3 Lac+,HARYANA,12th Pass
154,Kashappanavara Vijayanand Shivashankrappa,HUNGUND,INC,11,9 Crore+,2 Crore+,KARNATAKA,12th Pass
155,Ajay Chandrakar,KURUD,BJP,0,14 Crore+,2 Crore+,CHHATTISGARH,Post Graduate
156,Ram Niwas Shah,SINGRAULI,BJP,0,2 Crore+,54 Lac+,MADHYAPRADESH,12th Pass
157,Mithilesh Kumar,SITAMARHI,BJP,0,11 Crore+,0,BIHAR,Graduate
158,Meghana Deepak Sakore Bordikar,JINTUR,BJP,2,19 Crore+,4 Crore+,MAHARASHTRA,Graduate
159,Dr. Mohan Singh Bisht,LALKUAN,BJP,0,0,0,UTTARAKHAND,Doctorate
160,Amansher Singh (Shery Kalsi),BATALA,AAP,0,3 Crore+,11 Lac+,PUNJAB,10th Pass
161,Doddanagouda Hanamagouda Patil,KUSHTAGI,BJP,1,3 Crore+,10 Lac+,KARNATAKA,12th Pass
162,Somnath Bharti,MALVIYA NAGAR,AAP,6,1 Crore+,20 Lac+,DELHI,Post Graduate
163,Mingma Norbu Sherpa,DARAMDIN,Sikkim Krantikari Morcha,0,1 Crore+,6 Lac+,SIKKIM,Graduate
164,Pugazhenthi N,VIKRAVANDI,DMK,4,52 Lac+,27 Lac+,TAMILNADU,8th Pass
165,Gandhirajan S,VEDASANDUR,DMK,2,9 Crore+,1 Crore+,TAMILNADU,Graduate Professional
166,Praveen Kumar,JANGPURA,AAP,1,91 Lac+,3 Lac+,DELHI,Post Graduate
167,Gadikokta. Srikanth Reddy,RAYACHOTI,YSRCP,1,6 Crore+,2 Crore+,ANDHRAPRADESH,Graduate Professional
168,Amandeep Singh Musafir,BALLUANA (SC),AAP,0,4 Crore+,0,PUNJAB,12th Pass
169,Jakir Hussain Sikdar,SARUKHETRI,INC,1,77 Lac+,30 Lac+,ASSAM,Graduate
170,Amalu.V,GUDIYATTAM (SC),DMK,0,33 Lac+,0,TAMILNADU,8th Pass
171,Rajendra Singh Patel,JAHANABAD,BJP,0,94 Lac+,1 Lac+,UTTARPRADESH,12th Pass
172,Laljit Singh Bhullar,PATTI,AAP,3,0,63 Lac+,PUNJAB,12th Pass
173,Dr. Ramprit Paswan,RAJNAGAR (SC),BJP,1,1 Crore+,10 Lac+,BIHAR,Doctorate
174,Anupama Rawat,HARIDWAR RURAL,INC,0,13 Crore+,20 Lac+,UTTARAKHAND,Post Graduate
175,Trilok Singh Cheema,KASHIPUR,BJP,0,44 Crore+,9 Crore+,UTTARAKHAND,Graduate
176,Bhumana Karunakar Reddy,TIRUPATI,YSRCP,0,15 Crore+,48 Lac+,ANDHRAPRADESH,Graduate
177,Bhimrao Dhondiba Tapkir,KHADAKWASALA,BJP,1,14 Crore+,9 Lac+,MAHARASHTRA,12th Pass
178,Dr. Pramod Kumar Mallick,NIALI,BJD,0,4 Crore+,0,ODISHA,Post Graduate
179,Rampratap Verma Alias Shashikant Verma,UTRAULA,BJP,0,3 Crore+,0,UTTARPRADESH,Post Graduate
180,Jaydrath Alias Pravaktanand,BARKHERA,BJP,1,19 Lac+,17 Lac+,UTTARPRADESH,Graduate
181,Satyajit Barman,HEMTABAD (SC),AITC,1,3 Crore+,80 Lac+,WESTBENGAL,Post Graduate
182,Dr. Yumnam Radheshyam Singh,HIYANGLAM,BJP,0,1 Crore+,38 Lac+,MANIPUR,Graduate Professional
183,Sanbor Shullai,SOUTH SHILLONG,BJP,0,12 Crore+,0,MEGHALAYA,10th Pass
184,Prakash Gunwantrao Bharsakale,AKOT,BJP,0,0,15 Lac+,MAHARASHTRA,8th Pass
185,Parshu Ram Dhada,SORO,BJD,1,2 Crore+,40 Lac+,ODISHA,12th Pass
186,Dulu Mahato,BAGHMARA,BJP,4,3 Crore+,44 Lac+,JHARKHAND,12th Pass
187,Balvantsinh Chandansinh Rajput,SIDHPUR,BJP,0,0,12 Crore+,GUJARAT,Graduate
188,Manoj Kanti Deb,KAMALPUR,BJP,0,0,0,TRIPURA,Graduate
189,Mamman Khan,FEROZEPUR JHIRKA,INC,1,5 Crore+,9 Lac+,HARYANA,Graduate Professional
190,Puran Prakash,BALDEV (SC),BJP,0,9 Crore+,19 Lac+,UTTARPRADESH,Graduate Professional
191,Nabam Tuki,SAGALEE,INC,1,0,20 Crore+,ARUNACHALPRADESH,Graduate
192,Abhimanyu Dattatray Pawar,AUSA,BJP,1,1 Crore+,19 Lac+,MAHARASHTRA,Post Graduate
193,Ramdular,DUDDHI (ST),BJP,1,2 Crore+,7 Lac+,UTTARPRADESH,12th Pass
194,Kiritkumar Chimanlal Patel,PATAN,INC,9,0,30 Lac+,GUJARAT,Doctorate
195,Bivas Sardar (Vobo),BARUIPUR PURBA (SC),AITC,1,76 Lac+,24 Lac+,WESTBENGAL,12th Pass
196,Tikaram Jully,ALWAR RURAL (SC),INC,0,6 Crore+,94 Lac+,RAJASTHAN,Graduate Professional
197,Shyambabu Prasad Yadav,PIPRA,BJP,2,1 Crore+,0,BIHAR,12th Pass
198,Pradip Mazumdar,DURGAPUR PURBA,AITC,0,18 Crore+,18 Lac+,WESTBENGAL,Post Graduate
199,Kaushik Kantibhai Vekariya,AMRELI,BJP,0,3 Crore+,0,GUJARAT,Graduate
200,Arun Choudhary,PACHPADRA,BJP,0,2 Crore+,12 Thou+,RAJASTHAN,Graduate Professional
201,Rajni Tiwari,SHAHABAD,BJP,0,2 Crore+,9 Lac+,UTTARPRADESH,Graduate
202,Siddhi Kumari,BIKANER EAST,BJP,0,102 Crore+,0,RAJASTHAN,Post Graduate
203,Ram Bilash Chauhan,MADHUBAN,BJP,0,6 Crore+,71 Lac+,UTTARPRADESH,Graduate Professional
204,Yogesh Amrutlal Sagar,CHARKOP,BJP,0,6 Crore+,2 Crore+,MAHARASHTRA,12th Pass
205,Sandeep Prabhakar Dhurve,ARNI (ST),BJP,1,2 Crore+,10 Lac+,MAHARASHTRA,Graduate Professional
206,Sethronkyu,LONGKHIM CHARE (ST),BJP,0,1 Crore+,0,NAGALAND,Graduate
207,Kunalbaba Rohidas Patil,DHULE RURAL,INC,1,42 Crore+,39 Crore+,MAHARASHTRA,Graduate Professional
208,Kaushik Rai,LAKHIPUR,BJP,0,0,71 Lac+,ASSAM,Graduate Professional
209,Dr.Chevireddy Bhaskar Reddy,CHANDRAGIRI,YSRCP,16,0,81 Lac+,ANDHRAPRADESH,Doctorate
210,Dr. Kamal Gupta,HISAR,BJP,0,3 Crore+,61 Lac+,HARYANA,Post Graduate
211,Suman Kanjilal,ALIPURDUARS,BJP,12,40 Lac+,0,WESTBENGAL,Graduate Professional
212,Asish Banerjee,RAMPURHAT,AITC,0,1 Crore+,0,WESTBENGAL,Doctorate
213,Tarkishore Prasad,KATIHAR,BJP,1,1 Crore+,1 Lac+,BIHAR,12th Pass
214,Ahir(Bharvad) Jethabhai,SHEHRA,BJP,1,18 Crore+,5 Crore+,GUJARAT,Graduate
215,Poosaram Godara,RATANGARH,INC,0,1 Crore+,11 Lac+,RAJASTHAN,Graduate Professional
216,Udhayanidhi Stalin,CHEPAUK-THIRUVALLIKENI,DMK,22,29 Crore+,1 Lac+,TAMILNADU,Graduate
217,Sanjeev Agarwal,BAREILLY CANTT.,BJP,0,23 Crore+,2 Crore+,UTTARPRADESH,Post Graduate
218,Ashok Singhal,DHEKIAJULI,BJP,0,17 Crore+,3 Crore+,ASSAM,Graduate
219,Nitish Mishra,JHANJHARPUR,BJP,0,3 Crore+,62 Lac+,BIHAR,Post Graduate
220,Madan Mitra,KAMARHATI,AITC,6,2 Crore+,16 Lac+,WESTBENGAL,Graduate
221,Jagat Singh,NADBAI,BJP,0,5 Crore+,26 Lac+,RAJASTHAN,Graduate Professional
222,R.Gandhi,RANIPET,DMK,3,47 Crore+,14 Crore+,TAMILNADU,10th Pass
223,Dr. G. Parameshwara,KORATAGERE (SC),INC,3,21 Crore+,9 Crore+,KARNATAKA,Doctorate
224,Ajay Gupta,AMRITSAR CENTRAL,AAP,0,18 Crore+,4 Crore+,PUNJAB,Graduate Professional
225,Lourembam Rameshwor Meetei,KEIRAO,BJP,1,1 Crore+,43 Lac+,MANIPUR,Graduate
226,Rekha Roy,KUSHMANDI (SC),AITC,1,16 Lac+,3 Lac+,WESTBENGAL,10th Pass
227,Z.Nyusietho Nyuthe,MELURI (ST),NDPP,0,1 Crore+,0,NAGALAND,Post Graduate
228,Hareram Singh,JAMURIA,AITC,0,1 Crore+,0,WESTBENGAL,12th Pass
229,Nilesh Cabral,CURCHOREM,BJP,0,28 Crore+,11 Crore+,GOA,Others
230,Sammari Lal,KANKE (SC),BJP,0,14 Lac+,0,JHARKHAND,Post Graduate
231,Marcuise N Marak,WILLIAM NAGAR (ST),NPP,0,3 Crore+,0,MEGHALAYA,12th Pass
232,Alamgir Alam,PAKUR,INC,0,7 Crore+,39 Lac+,JHARKHAND,Graduate
233,Dr. Tejbahadur Singh Chauhan,NAGADA-KHACHROD,BJP,0,82 Lac+,0,MADHYAPRADESH,Post Graduate
234,M R Patil,KUNDGOL,BJP,0,0,2 Lac+,KARNATAKA,Graduate
235,Kaluram,DAG (SC),BJP,0,3 Crore+,63 Lac+,RAJASTHAN,8th Pass
236,Anil Parashar,KOIL,BJP,1,6 Crore+,1 Crore+,UTTARPRADESH,Graduate Professional
237,Debes Mandal,HINGALGANJ (SC),AITC,0,49 Lac+,8 Lac+,WESTBENGAL,Graduate
238,Aparna Sengupta,NIRSA,BJP,1,46 Lac+,4 Lac+,JHARKHAND,10th Pass
239,Satya Parkash,PATAUDI (SC),BJP,0,45 Lac+,2 Lac+,HARYANA,Post Graduate
240,Ganesh Joshi,MUSSOORIE,BJP,0,9 Crore+,64 Lac+,UTTARAKHAND,10th Pass
241,Krishnaswamy A,POONAMALLEE (SC),DMK,8,13 Crore+,69 Lac+,TAMILNADU,Graduate Professional
242,Premananda Nayak,TELKOI,BJD,0,46 Lac+,16 Lac+,ODISHA,Graduate Professional
243,Bhushan Tirkey,GUMLA (ST),JMM,2,0,29 Lac+,JHARKHAND,10th Pass
244,Markandayan V,VILATHIKULAM,DMK,5,6 Crore+,1 Crore+,TAMILNADU,Graduate Professional
245,Alla Kali Krishna Srinivas,ELURU,YSRCP,0,0,11 Lac+,ANDHRAPRADESH,12th Pass
246,Murari Lal Meena,DAUSA,INC,0,0,28 Lac+,RAJASTHAN,12th Pass
