ID,Candidate,Constituency ∇,Party,Criminal Case,Total Assets,Liabilities,state,Education
34,Kiran Deo,JAGDALPUR,BJP,0,3 Crore+,15 Lac+,CHHATTISGARH,Graduate Professional
35,Baleshwar Sahu,JAIJAIPUR,INC,1,8 Crore+,3 Crore+,CHHATTISGARH,Post Graduate
36,Byas Kashyap S/O Shaniram Kashyap,JANJGIR-CHAMPA,INC,0,2 Crore+,35 Lac+,CHHATTISGARH,Graduate
37,Raymuni Bhagat,JASHPUR (ST),BJP,0,1 Crore+,,CHHATTISGARH,Graduate
38,Asha Ram Netam,KANKER (ST),BJP,1,74 Lac+,,CHHATTISGARH,Graduate
39,Sandeep Sahu,KASDOL,INC,0,0,,CHHATTISGARH,Post Graduate
40,Premchand Patel,KATGHORA,BJP,0,2 Crore+,2 Lac+,CHHATTISGARH,Post Graduate
41,Vijay Sharma,KAWARDHA,BJP,7,1 Crore+,12 Lac+,CHHATTISGARH,Post Graduate
42,Neelkanth Tekam,KESHKAL (ST),BJP,0,1 Crore+,16 Lac+,CHHATTISGARH,Post Graduate
43,Yashoda Nilamber Verma,KHAIRAGARH,INC,0,2 Crore+,13 Lac+,CHHATTISGARH,10th Pass
44,Dwarikadhish Yadav,KHALLARI,INC,0,1 Crore+,2 Lac+,CHHATTISGARH,12th Pass
45,Umesh Patel,KHARSIA,INC,0,2 Crore+,,CHHATTISGARH,Graduate Professional
46,Bholaram Sahu,KHUJJI,INC,0,1 Crore+,3 Lac+,CHHATTISGARH,8th Pass
47,Lata Usendi,KONDAGAON (ST),BJP,0,3 Crore+,1 Crore+,CHHATTISGARH,12th Pass
48,Kawasi Lakhma,KONTA (ST),INC,0,2 Crore+,35 Lac+,CHHATTISGARH,Literate
49,Lakhanlal Devangan,KORBA,BJP,0,0,,CHHATTISGARH,12th Pass
50,Atal Shrivastav,KOTA,INC,3,10 Crore+,2 Crore+,CHHATTISGARH,Graduate Professional
51,Vishnu Deo Sai,KUNKURI (ST),BJP,0,3 Crore+,65 Lac+,CHHATTISGARH,10th Pass
52,Ajay Chandrakar,KURUD,BJP,0,14 Crore+,2 Crore+,CHHATTISGARH,Post Graduate
53,Vidyawati Sidar,LAILUNGA (ST),INC,0,1 Crore+,4 Lac+,CHHATTISGARH,12th Pass
54,Arun Sao,LORMI,BJP,0,1 Crore+,,CHHATTISGARH,Graduate Professional
55,Prabodh Minz,LUNDRA (ST),BJP,0,5 Crore+,6 Lac+,CHHATTISGARH,Others
56,Yogeshwar Raju Sinha,MAHASAMUND,BJP,1,12 Crore+,1 Crore+,CHHATTISGARH,Graduate
57,Shyam Bihari Jaiswal,MANENDRAGARH,BJP,0,12 Crore+,5 Crore+,CHHATTISGARH,Post Graduate
58,Pranav Kumar Marpachi,MARWAHI (ST),BJP,0,71 Lac+,12 Lac+,CHHATTISGARH,Post Graduate
59,Dilip Lahariya,MASTURI (SC),INC,0,0,50 Lac+,CHHATTISGARH,12th Pass
60,Indrashah Mandavi,MOHLA-MANPUR (ST),INC,0,4 Crore+,60 Thou+,CHHATTISGARH,Post Graduate
61,Punnulal Mohle,MUNGELI (SC),BJP,0,5 Crore+,,CHHATTISGARH,12th Pass
62,Kedar Kashyap,NARAYANPUR (ST),BJP,0,3 Crore+,25 Lac+,CHHATTISGARH,Post Graduate
63,Dayal Das Baghel,NAWAGARH (SC),BJP,1,3 Crore+,43 Lac+,CHHATTISGARH,8th Pass
64,Tuleshwar Hira Singh Markam,PALI-TANAKHAR (ST),Gondvana Gantantra Party,0,26 Lac+,,CHHATTISGARH,Graduate Professional
65,Sheshraj Harvansh,PAMGARH (SC),INC,0,4 Crore+,,CHHATTISGARH,Graduate
66,Bhawna Bohra,PANDARIYA,BJP,0,33 Crore+,6 Crore+,CHHATTISGARH,Post Graduate
67,Bhupesh Baghel,PATAN,INC,1,33 Crore+,28 Lac+,CHHATTISGARH,Post Graduate
68,Gomati Sai,PATHALGAON (ST),BJP,0,15 Lac+,,CHHATTISGARH,12th Pass
69,Shakuntala Singh Portey,PRATAPPUR (ST),BJP,1,0,14 Lac+,CHHATTISGARH,Graduate Professional
70,Bhulan Singh Marabi,PREMNAGAR,BJP,0,62 Lac+,1 Lac+,CHHATTISGARH,8th Pass
71,O.P.Choudhary,RAIGARH,BJP,5,12 Crore+,65 Lac+,CHHATTISGARH,Graduate
72,Purandar Mishra,RAIPUR CITY NORTH,BJP,0,11 Crore+,4 Crore+,CHHATTISGARH,Doctorate
73,Brijmohan Agrawal,RAIPUR CITY SOUTH,BJP,0,17 Crore+,98 Lac+,CHHATTISGARH,Post Graduate
74,Rajesh Munat,RAIPUR CITY WEST,BJP,1,8 Crore+,3 Crore+,CHHATTISGARH,12th Pass
75,Motilal Sahu,RAIPUR RURAL,BJP,0,3 Crore+,2 Lac+,CHHATTISGARH,Others
76,Rohit Sahu,RAJIM,BJP,0,1 Crore+,47 Lac+,CHHATTISGARH,12th Pass
77,Dr. Raman Singh,RAJNANDGAON,BJP,0,15 Crore+,21 Lac+,CHHATTISGARH,Graduate Professional
78,Ram Vichar Netam,RAMANUJGANJ (ST),BJP,0,6 Crore+,49 Lac+,CHHATTISGARH,10th Pass
79,Phoolsingh Rathiya,RAMPUR (ST),INC,0,0,11 Lac+,CHHATTISGARH,8th Pass
80,Ishwar Sahu,SAJA,BJP,0,16 Lac+,,CHHATTISGARH,5th Pass
81,Charan Das Mahant,SAKTI,INC,0,20 Crore+,10 Lac+,CHHATTISGARH,Doctorate
82,Udhheshwari Paikra,SAMRI (ST),BJP,1,1 Crore+,41 Lac+,CHHATTISGARH,12th Pass
83,Sangeeta Sinha,SANJARI BALOD,INC,0,5 Crore+,54 Lac+,CHHATTISGARH,Graduate
84,Chaturi Nand,SARAIPALI (SC),INC,0,55 Lac+,15 Lac+,CHHATTISGARH,Post Graduate
85,Uttari Jangde,SARANGARH (SC),INC,0,1 Crore+,,CHHATTISGARH,12th Pass
86,Ambika Markam,SIHAWA (ST),INC,0,1 Crore+,13 Lac+,CHHATTISGARH,Post Graduate
87,Poorv Sainik Ramkumar Toppo,SITAPUR (ST),BJP,0,13 Lac+,17 Lac+,CHHATTISGARH,Graduate
88,Dharmjeet Singh,TAKHATPUR,BJP,0,2 Crore+,,CHHATTISGARH,Graduate
89,Rikesh Sen,VAISHALI NAGAR,BJP,2,0,7 Lac+,CHHATTISGARH,12th Pass
90,Manoj Manzil,AGIAON (SC),CPI(ML)(L),30,3 Lac+,,BIHAR,Graduate
91,Narendra Narayan Yadav,ALAMNAGAR,JD(U),1,2 Crore+,84 Thou+,BIHAR,Graduate
92,Ramvriksh Sada,ALAULI (SC),RJD,5,70 Thou+,,BIHAR,10th Pass
93,Mishri Lal Yadav,ALINAGAR,Vikassheel Insaan Party,4,1 Crore+,27 Lac+,BIHAR,Post Graduate
94,Jayant Raj,AMARPUR,JD(U),0,61 Lac+,8 Lac+,BIHAR,Post Graduate
95,Krishan Kumar Mantoo,AMNOUR,BJP,9,7 Crore+,4 Crore+,BIHAR,10th Pass
96,Akhtarul Iman,AMOUR,All India Majlis-E-Ittehadul Muslimeen,8,74 Lac+,7 Lac+,BIHAR,Post Graduate
97,Abidur Rahman,ARARIA,INC,2,4 Crore+,8 Lac+,BIHAR,10th Pass
98,Amrendra Pratap Singh,ARRAH,BJP,0,2 Crore+,,BIHAR,Graduate
99,Maha Nand Singh,ARWAL,CPI(ML)(L),3,0,,BIHAR,12th Pass
100,Jitendra Kumar,ASTHAWAN,JD(U),1,3 Crore+,,BIHAR,Doctorate
101,Ajay Yadav,ATRI,RJD,14,1 Crore+,2 Lac+,BIHAR,12th Pass
102,Anand Shankar Singh,AURANGABAD,INC,3,3 Crore+,9 Lac+,BIHAR,Post Graduate
103,Mina Kumari,BABUBARHI,JD(U),1,69 Lac+,17 Lac+,BIHAR,Post Graduate
104,Surendra Mehata,BACHHWARA,BJP,0,36 Lac+,3 Lac+,BIHAR,12th Pass
105,Ram Singh,BAGAHA,BJP,1,1 Crore+,2 Lac+,BIHAR,12th Pass
106,Mohammad Anzar Nayeemi,BAHADURGANJ,All India Majlis-E-Ittehadul Muslimeen,1,4 Crore+,53 Lac+,BIHAR,Graduate
107,Madan Sahni,BAHADURPUR,JD(U),2,2 Crore+,3 Lac+,BIHAR,Graduate
108,Prem Shankar Prasad,BAIKUNTHPUR,RJD,4,92 Lac+,,BIHAR,12th Pass
109,Syed Ruknuddin Ahmad,BAISI,All India Majlis-E-Ittehadul Muslimeen,7,0,46 Lac+,BIHAR,12th Pass
110,Mukesh Kumar Yadav,BAJPATTI,RJD,2,2 Crore+,1 Lac+,BIHAR,Graduate
111,Suryakant Paswan,BAKHRI (SC),CPI,1,44 Lac+,24 Thou+,BIHAR,Graduate
112,Aniruddh Kumar,BAKHTIARPUR,RJD,11,2 Crore+,12 Lac+,BIHAR,12th Pass
113,Mahboob Alam,BALRAMPUR,CPI(ML)(L),14,31 Lac+,10 Lac+,BIHAR,12th Pass
114,Kedar Nath Singh,BANIAPUR,RJD,5,2 Crore+,20 Lac+,BIHAR,Graduate
115,Ram Narayan Mandal,BANKA,BJP,1,1 Crore+,2 Lac+,BIHAR,Literate
116,Nitin Nabin,BANKIPUR,BJP,5,1 Crore+,24 Thou+,BIHAR,12th Pass
117,Krishna Kumar Rishi,BANMANKHI (SC),BJP,2,2 Crore+,21 Lac+,BIHAR,12th Pass
118,Jyoti Devi,BARACHATTI (SC),Hindustani Awam Morcha (Secular),0,86 Lac+,2 Lac+,BIHAR,12th Pass
119,Bijay Singh,BARARI,JD(U),0,0,80 Lac+,BIHAR,10th Pass
120,Rampravesh Rai,BARAULI,BJP,1,94 Lac+,5 Lac+,BIHAR,Graduate
121,Sudarshan Kumar,BARBIGHA,JD(U),0,1 Crore+,16 Lac+,BIHAR,12th Pass
122,Gyanendra Kumar Singh,BARH,BJP,1,4 Crore+,27 Lac+,BIHAR,Graduate
123,Raghvendra Pratap Singh,BARHARA,BJP,4,2 Crore+,,BIHAR,10th Pass
124,Bachcha Pandey,BARHARIA,RJD,0,4 Crore+,1 Crore+,BIHAR,10th Pass
125,Arun Kumar Singh,BARURAJ,BJP,1,5 Crore+,39 Lac+,BIHAR,Doctorate
126,Anil Kumar,BATHNAHA (SC),BJP,0,11 Lac+,,BIHAR,Graduate Professional
127,Kundan Kumar,BEGUSARAI,BJP,0,9 Crore+,24 Lac+,BIHAR,Post Graduate
128,Surendra Prasad Yadav,BELAGANJ,RJD,9,8 Crore+,41 Lac+,BIHAR,Post Graduate
129,Panna Lal Singh Patel,BELDAUR,JD(U),1,0,4 Lac+,BIHAR,10th Pass
130,Manoj Yadav,BELHAR,JD(U),0,7 Crore+,1 Crore+,BIHAR,12th Pass
131,Sanjay Kumar Gupta,BELSAND,RJD,5,5 Crore+,42 Lac+,BIHAR,12th Pass
132,Vinod Narayan Jha,BENIPATTI,BJP,1,2 Crore+,3 Lac+,BIHAR,Graduate
133,Binay Kumar Choudhary,BENIPUR,JD(U),0,2 Crore+,5 Lac+,BIHAR,Doctorate
134,Renu Devi,BETTIAH,BJP,2,3 Crore+,14 Lac+,BIHAR,12th Pass
135,Bharat Bind,BHABUA,RJD,4,84 Lac+,,BIHAR,10th Pass
136,Ajit Sharma,BHAGALPUR,INC,7,43 Crore+,6 Crore+,BIHAR,Graduate
137,Sunil Kumar,BHORE (SC),JD(U),0,6 Crore+,3 Lac+,BIHAR,Post Graduate
138,Ajay Kumar,BIBHUTIPUR,CPI(M),3,1 Crore+,50 Thou+,BIHAR,Post Graduate
139,Niranjan Kumar Mehta,BIHARIGANJ,JD(U),0,0,,BIHAR,Graduate
140,Dr. Sunil Kumar,BIHARSHARIF,BJP,7,11 Crore+,,BIHAR,Graduate Professional
141,Kumar Shailendra,BIHPUR,BJP,3,2 Crore+,7 Lac+,BIHAR,Graduate Professional
142,Siddharth Saurav,BIKRAM,INC,6,3 Crore+,,BIHAR,12th Pass
143,Haribhushan Thakur,BISFI,BJP,1,1 Crore+,6 Lac+,BIHAR,Graduate
144,Musafir Paswan,BOCHAHAN (SC),Vikassheel Insaan Party,5,7 Crore+,,BIHAR,10th Pass
145,Kumar Sarvjeet,BODH GAYA (SC),RJD,1,6 Crore+,11 Lac+,BIHAR,Graduate Professional
146,Shambhu Nath Yadav,BRAHAMPUR,RJD,4,7 Crore+,13 Crore+,BIHAR,10th Pass
147,Sanjay Kumar Tiwari,BUXAR,INC,8,7 Crore+,30 Lac+,BIHAR,Graduate
148,Mohd. Zama Khan,CHAINPUR,BSP,3,30 Lac+,,BIHAR,12th Pass
149,Sumit Kumar Singh,CHAKAI,IND,1,0,59 Lac+,BIHAR,Graduate
150,Umakant Singh,CHANPATIA,BJP,0,15 Crore+,8 Crore+,BIHAR,10th Pass
151,Dr. C. N. Gupta,CHAPRA,BJP,0,4 Crore+,32 Lac+,BIHAR,Graduate Professional
152,Murari Prasad Gautam,CHENARI (SC),INC,1,17 Lac+,,BIHAR,Graduate
153,Raj Vanshi Mahto,CHERIA - BARIARPUR,RJD,0,3 Crore+,1 Lac+,BIHAR,10th Pass
154,Neeraj Kumar Singh,CHHATAPUR,BJP,3,14 Crore+,1 Crore+,BIHAR,12th Pass
155,Lal Babu Prasad Gupta,CHIRAIA,BJP,0,1 Crore+,1 Lac+,BIHAR,Literate
156,Rit Lal Ray,DANAPUR,RJD,14,12 Crore+,,BIHAR,12th Pass
157,Satyadeo Ram,DARAULI (SC),CPI(ML)(L),5,30 Lac+,,BIHAR,10th Pass
158,Karnjeet Singh Alias Vyas Singh,DARAUNDA,BJP,4,6 Crore+,32 Lac+,BIHAR,12th Pass
159,Sanjay Saraogi,DARBHANGA,BJP,4,0,1 Crore+,BIHAR,Post Graduate
160,Lalit Kumar Yadav,DARBHANGA RURAL,RJD,1,17 Crore+,2 Crore+,BIHAR,Post Graduate
161,Phate Bahadur Singh,DEHRI,RJD,1,14 Crore+,3 Crore+,BIHAR,10th Pass
162,Pawan Kumar Jaiswal,DHAKA,BJP,5,5 Crore+,60 Lac+,BIHAR,Graduate
163,Leshi Singh,DHAMDAHA,JD(U),0,2 Crore+,61 Lac+,BIHAR,12th Pass
164,Bhudeo Choudhary,DHORAIYA (SC),RJD,4,1 Crore+,13 Lac+,BIHAR,Graduate Professional
165,Sanjiv Chaurasia,DIGHA,BJP,4,7 Crore+,,BIHAR,Doctorate
166,Vijay Kumar Mandal,DINARA,RJD,4,2 Crore+,,BIHAR,Graduate
167,Ajit Kumar Singh,DUMRAON,CPI(ML)(L),2,37 Lac+,,BIHAR,Doctorate
168,Srikant Yadav,EKMA,RJD,0,3 Crore+,2 Crore+,BIHAR,8th Pass
169,Dr. Ramanand Yadav,FATUHA,RJD,4,0,,BIHAR,Doctorate
170,Vidya Sagar Keshari,FORBESGANJ,BJP,2,6 Crore+,24 Thou+,BIHAR,Graduate
171,Niranjan Roy,GAIGHAT,RJD,5,2 Crore+,75 Lac+,BIHAR,Graduate
172,Surendra Ram,GARKHA (SC),RJD,4,1 Crore+,,BIHAR,Graduate
173,Swarna Singh,GAURA BAURAM,Vikassheel Insaan Party,0,4 Crore+,,BIHAR,Graduate
174,Prem Kumar,GAYA TOWN,BJP,6,1 Crore+,9 Lac+,BIHAR,Doctorate
175,Ram Bali Singh Yadav,GHOSI,CPI(ML)(L),1,41 Lac+,1 Lac+,BIHAR,Post Graduate
176,Md Kamran,GOBINDPUR,RJD,0,5 Crore+,,BIHAR,12th Pass
177,Bhim Kumar Singh,GOH,RJD,1,6 Crore+,12 Lac+,BIHAR,Graduate
178,Subash Singh,GOPALGANJ,BJP,6,2 Crore+,8 Lac+,BIHAR,10th Pass
179,Narendra Kumar Niraj,GOPALPUR,JD(U),3,0,,BIHAR,Graduate
180,Devesh Kant Singh,GORIAKOTHI,BJP,0,3 Crore+,56 Lac+,BIHAR,Graduate
181,Sunil Mani Tiwari,GOVINDGANJ,BJP,1,22 Lac+,,BIHAR,Graduate
182,Vinay Kumar,GURUA,RJD,1,6 Crore+,1 Crore+,BIHAR,Graduate
183,Awdhesh Singh,HAJIPUR,BJP,0,4 Crore+,7 Lac+,BIHAR,12th Pass
184,Sudhanshu Shekhar,HARLAKHI,JD(U),0,77 Lac+,,BIHAR,Graduate
185,Hari Narayan Singh,HARNAUT,JD(U),0,3 Crore+,,BIHAR,Graduate
186,Krishnanandan Paswan,HARSIDHI (SC),BJP,0,1 Crore+,59 Lac+,BIHAR,12th Pass
187,Tej Pratap Yadav,HASANPUR,RJD,5,2 Crore+,17 Lac+,BIHAR,12th Pass
188,Rajesh Kumar Singh,HATHUA,RJD,3,1 Crore+,1 Lac+,BIHAR,12th Pass
189,Ram Chandra Prasad,HAYAGHAT,BJP,2,0,,BIHAR,Doctorate
190,Krishnamurari Sharan Alias Prem Mukhiya,HILSA,JD(U),0,3 Crore+,,BIHAR,12th Pass
191,Nitu Kumari,HISUA,INC,7,4 Crore+,3 Lac+,BIHAR,Graduate
192,Jitan Ram Manjhi,IMAMGANJ (SC),Hindustani Awam Morcha (Secular),6,44 Lac+,21 Thou+,BIHAR,Graduate
193,Rakesh Kumar Roushan,ISLAMPUR,RJD,0,2 Crore+,15 Lac+,BIHAR,Post Graduate
194,Ram Vishun Singh,JAGDISHPUR,RJD,0,4 Crore+,19 Lac+,BIHAR,Graduate
195,Jibesh Kumar,JALE,BJP,5,3 Crore+,72 Lac+,BIHAR,Post Graduate
196,Ajay Kumar Singh,JAMALPUR,INC,1,2 Crore+,2 Lac+,BIHAR,Doctorate
197,Shreyasi Singh,JAMUI,BJP,0,4 Crore+,,BIHAR,Post Graduate
198,Kumar Krishna Mohan Alias Suday Yadav,JEHANABAD,RJD,0,1 Crore+,,BIHAR,Doctorate
199,Damodar Rawat,JHAJHA,JD(U),1,0,19 Lac+,BIHAR,Post Graduate
200,Nitish Mishra,JHANJHARPUR,BJP,0,3 Crore+,62 Lac+,BIHAR,Post Graduate
201,Shahnawaz,JOKIHAT,All India Majlis-E-Ittehadul Muslimeen,1,2 Crore+,7 Lac+,BIHAR,Graduate Professional
202,Shakeel Ahmad Khan,KADWA,INC,6,1 Crore+,12 Lac+,BIHAR,Doctorate
203,Pawan Kumar Yadav,KAHALGAON,BJP,5,3 Crore+,27 Lac+,BIHAR,12th Pass
204,Manoj Kumar Yadav,KALYANPUR,RJD,2,2 Crore+,16 Lac+,BIHAR,Graduate
205,Maheshwar Hazari,KALYANPUR (SC),JD(U),1,6 Crore+,1 Crore+,BIHAR,Graduate
206,Mohammad Israil Mansuri,KANTI,RJD,2,95 Lac+,20 Lac+,BIHAR,12th Pass
207,Arun Singh,KARAKAT,CPI(ML)(L),2,1 Crore+,,BIHAR,10th Pass
208,Santosh Kumar Mishra,KARGAHAR,INC,0,4 Crore+,50 Lac+,BIHAR,Graduate Professional
209,Md. Afaque Alam,KASBA,INC,1,0,35 Thou+,BIHAR,Post Graduate
210,Tarkishore Prasad,KATIHAR,BJP,1,1 Crore+,1 Lac+,BIHAR,12th Pass
211,Dr. Nikki Hembrom,KATORIA (ST),BJP,0,1 Crore+,1 Crore+,BIHAR,Doctorate
212,Murari Mohan Jha,KEOTI,BJP,0,5 Crore+,49 Lac+,BIHAR,Doctorate
213,Shalini Mishra,KESARIA,JD(U),1,3 Crore+,1 Crore+,BIHAR,Post Graduate
214,Chhatrapati Yadav,KHAGARIA,INC,1,1 Crore+,,BIHAR,Post Graduate
215,Arun Shankar Prasad,KHAJAULI,BJP,4,2 Crore+,12 Lac+,BIHAR,Post Graduate
216,Ijaharul Husain,KISHANGANJ (KISHANGANJ),INC,1,66 Lac+,79 Thou+,BIHAR,Post Graduate
217,Muhammed Izhar Asfi,KOCHADHAMAN,All India Majlis-E-Ittehadul Muslimeen,2,2 Crore+,2 Lac+,BIHAR,10th Pass
218,Kavita Devi,KORHA (SC),BJP,0,2 Crore+,,BIHAR,12th Pass
219,Amrendra Kumar Pandey,KUCHAIKOTE,JD(U),11,0,93 Lac+,BIHAR,12th Pass
220,Arun Kumar Sinha,KUMHRAR,BJP,4,3 Crore+,,BIHAR,Graduate Professional
221,Anil Kumar Sahani,KURHANI,RJD,1,1 Crore+,15 Lac+,BIHAR,Doctorate
222,Kedar Prasad Gupta,KURHANI : BYE ELECTION ON 05-12-2022,BJP,5,2 Crore+,8 Lac+,BIHAR,Post Graduate
223,Bagi Kumar Verma,KURTHA,RJD,2,8 Crore+,59 Lac+,BIHAR,Graduate
224,Shashi Bhushan Hajari,KUSHESHWAR ASTHAN (SC),JD(U),1,1 Crore+,1 Lac+,BIHAR,12th Pass
225,Rajesh Kumar,KUTUMBA (SC),INC,2,7 Crore+,60 Lac+,BIHAR,Graduate
226,Vijay Kumar Sinha,LAKHISARAI,BJP,1,8 Crore+,22 Lac+,BIHAR,Others
227,Sanjay Kumar Singh,LALGANJ,BJP,1,2 Crore+,62 Lac+,BIHAR,Graduate
228,Bharat Bhushan Mandal,LAUKAHA,RJD,0,2 Crore+,,BIHAR,Post Graduate
229,Vinay Bihari,LAURIYA,BJP,6,0,9 Hund+,BIHAR,Graduate
230,Chandra Shekhar,MADHEPURA,RJD,3,2 Crore+,40 Lac+,BIHAR,Post Graduate
231,Rana Randhir,MADHUBAN,BJP,0,3 Crore+,,BIHAR,Graduate Professional
232,Samir Kumar Mahaseth,MADHUBANI,RJD,0,24 Crore+,28 Lac+,BIHAR,Post Graduate
233,Vijay Shanker Dubey,MAHARAJGANJ,INC,1,5 Crore+,,BIHAR,Graduate
234,Gunjeshwar Sah,MAHISHI,JD(U),0,1 Crore+,,BIHAR,Graduate
235,Bina Singh,MAHNAR,RJD,0,4 Crore+,29 Lac+,BIHAR,Graduate
236,Mukesh Kumar Raushan,MAHUA,RJD,4,9 Crore+,3 Crore+,BIHAR,Graduate Professional
237,Satish Kumar,MAKHDUMPUR (SC),RJD,8,22 Lac+,,BIHAR,Graduate Professional
238,Bhai Virendra,MANER,RJD,8,2 Crore+,35 Lac+,BIHAR,Graduate
239,Manohar Prasad Singh,MANIHARI (ST),INC,0,0,,BIHAR,Post Graduate
240,Dr. Satyendra Yadav,MANJHI,CPI(M),9,25 Lac+,,BIHAR,Doctorate
241,Jitendra Kumar Ray,MARHAURA,RJD,5,4 Crore+,31 Lac+,BIHAR,Graduate
242,Rekha Devi,MASAURHI (SC),RJD,3,1 Crore+,99 Thou+,BIHAR,5th Pass
243,Raj Kumar Singh,MATIHANI,LJP,0,12 Crore+,70 Lac+,BIHAR,Graduate
244,Rajeev Kumar,MINAPUR,RJD,5,2 Crore+,50 Lac+,BIHAR,12th Pass
245,Sangita Kumari,MOHANIA (SC),RJD,0,1 Crore+,47 Lac+,BIHAR,Post Graduate
246,Rajesh Kumar Singh,MOHIUDDINNAGAR,BJP,0,3 Crore+,35 Lac+,BIHAR,Graduate
247,Anant Kumar Singh,MOKAMA,RJD,38,68 Crore+,17 Crore+,BIHAR,Literate
248,Ranvijay Sahu,MORWA,RJD,0,2 Crore+,6 Lac+,BIHAR,Graduate
249,Pramod Kumar,MOTIHARI,BJP,4,0,5 Lac+,BIHAR,Graduate Professional
250,Pranav Kumar,MUNGER,BJP,0,53 Lac+,3 Lac+,BIHAR,Graduate
251,Bijendra Chaudhary,MUZAFFARPUR,INC,6,2 Crore+,36 Lac+,BIHAR,Graduate
252,Vijay Kumar Singh Alias Dabloo Singh,NABINAGAR,RJD,5,7 Crore+,2 Lac+,BIHAR,10th Pass
253,Shrawon Kumar,NALANDA,JD(U),0,2 Crore+,19 Lac+,BIHAR,12th Pass
254,Shamim Ahmad,NARKATIA,RJD,0,4 Crore+,62 Lac+,BIHAR,Graduate Professional
255,Rashmi Varma,NARKATIAGANJ,BJP,2,1 Crore+,4 Lac+,BIHAR,Graduate
256,Jai Prakash Yadav,NARPATGANJ,BJP,3,6 Crore+,31 Lac+,BIHAR,Graduate
